x,y
0.01,0.061960286
0.02,0.123682474
0.03,0.184929378
0.04,0.245465641
0.05,0.305058636
0.06,0.363479362
0.07,0.420503321
0.08,0.475911382
0.09,0.529490626
0.1,0.581035161
0.11,0.630346911
0.12,0.677236384
0.13,0.721523394
0.14,0.763037756
0.15,0.801619941
0.16,0.837121686
0.17,0.869406565
0.18,0.898350516
0.19,0.923842314
0.2,0.945783999
0.21,0.964091256
0.22,0.978693732
0.23,0.989535315
0.24,0.996574342
0.25,0.999783764
0.26,0.999151249
0.27,0.994679226
0.28,0.986384881
0.29,0.974300087
0.3,0.958471283
0.31,0.938959296
0.32,0.915839105
0.33,0.889199556
0.34,0.859143018
0.35,0.825784993
0.36,0.789253667
0.37,0.749689422
0.38,0.707244293
0.39,0.662081388
0.4,0.614374258
0.41,0.564306229
0.42,0.512069702
0.43,0.457865409
0.44,0.401901646
0.45,0.344393467
0.46,0.285561864
0.47,0.225632913
0.48,0.164836906
0.49,0.10340747
0.5,0.041580662
0.51,-0.02040593
0.52,-0.082314107
0.53,-0.14390597
0.54,-0.204944836
0.55,-0.265196146
0.56,-0.324428368
0.57,-0.382413888
0.58,-0.438929879
0.59,-0.493759164
0.6,-0.546691047
0.61,-0.597522123
0.62,-0.646057059
0.63,-0.692109347
0.64,-0.735502019
0.65,-0.776068327
0.66,-0.813652384
0.67,-0.848109763
0.68,-0.879308052
0.69,-0.907127363
0.7,-0.931460794
0.71,-0.952214836
0.72,-0.969309737
0.73,-0.982679804
0.74,-0.992273661
0.75,-0.998054439
0.76,-0.999999924
0.77,-0.998102641
0.78,-0.992369881
0.79,-0.982823672
0.8,-0.969500699
0.81,-0.95245216
0.82,-0.931743566
0.83,-0.907454498
0.84,-0.879678292
0.85,-0.848521685
0.86,-0.814104406
0.87,-0.776558712
0.88,-0.736028883
0.89,-0.692670664
0.9,-0.646650672
0.91,-0.598145751
0.92,-0.547342295
0.93,-0.494435528
0.94,-0.43962876
0.95,-0.383132601
0.96,-0.325164151
0.97,-0.265946171
0.98,-0.205706221
0.99,-0.14467579
1,-0.083089403
